participant_id,experience_level,years_experience,prompt_length_chars,prompt_word_count,prompt_clarity,prompt_specificity,prompt_structure,ai_response_time_seconds,eslint_errors,cyclomatic_complexity,maintainability_index,readability_score
J1,junior,2,210,37,4,3,2,21.52,0,2.5,49.28,6.42
J2,junior,2,270,33,5,5,3,26.54,0,12,24.29,13.06
J3,junior,2,352,76,4,4,3,24.73,0,4,48.54,7.09
J4,junior,0.5,337,63,5,3,3,13.59,0,3,49.95,5.33
J5,junior,2,480,94,5,4,4,9.05,0,4,36.62,6.94
J6,junior,0.5,305,60,4,3,3,10.07,0,5,37.64,7.61
J7,junior,0.5,105,19,3,2,1,11.58,1,5,36.83,7.56
J8,junior,0.5,46,9,2,1,1,12.57,1,5,36.31,7.64
J9,junior,2,425,71,5,3,3,12.38,0,4,37.86,6.93
J10,junior,0.5,114,18,3,2,1,12.38,1,5,35.28,7.48
J11,junior,2,385,61,5,4,3,15.19,0,9,28.44,10.92
J12,junior,0.5,110,17,3,2,2,11.6,0,5,38.02,7.5
J13,junior,2,167,36,4,3,2,10.95,0,4,39.04,6.99
J14,junior,0.5,186,32,3,2,2,15.12,0,4,39.05,7
J15,junior,2,170,35,4,3,2,11.46,0,3,50,5.29
J16,junior,2,182,34,3,2,2,11.37,0,3,49.48,5.31
J17,junior,0.5,182,33,3,2,2,17.37,1,5,37.68,7.57
J18,junior,0.5,173,31,3,2,2,12.66,0,5,36.2,7.5
J19,junior,0.5,178,32,3,2,1,12.03,1,5,36.19,7.55
J20,junior,2,171,29,3,2,2,10.34,0,5,37.14,7.43
J21,junior,2,186,29,4,3,2,15.95,0,5,36.79,7.47
J22,junior,0.5,161,35,3,2,2,14.68,1,5,37.14,7.57
J23,junior,0.5,178,37,4,2,2,11.7,0,5,38.03,7.55
J24,junior,2,175,28,4,2,2,11.53,0,5,36.78,7.55
J25,junior,0.5,167,33,3,2,2,17.79,0,3,50.56,5.34
J26,junior,0.5,161,33,3,2,2,13.25,0,5,37.93,7.51
J27,junior,2,194,34,4,3,2,12.58,0,4,36.51,6.96
J28,junior,0.5,178,31,3,2,2,11.22,0,4,37.85,6.99
J29,junior,2,211,40,4,3,2,13.5,0,4,37.05,6.95
J30,junior,2,222,46,4,3,2,15.92,0,6,31.01,9.08
J31,junior,0.5,167,30,3,2,2,17.7,0,3.5,46.36,5.82
J32,junior,0.5,170,33,3,2,2,8.56,1,5,37.08,7.53
J33,junior,2,224,54,4,3,3,15.43,0,6,34.87,8.15
J34,junior,0.5,171,37,3,2,2,11.18,0,4,37.6,6.94
J35,junior,2,175,28,4,3,2,11.22,0,4,36.88,6.95
J36,junior,2,171,34,4,3,2,11.39,0,5,36.77,7.54
J37,junior,0.5,167,32,3,2,2,11.42,0,4,37.88,7.08
J38,junior,2,169,23,4,4,3,16.04,0,7,29.88,8.45
J39,junior,0.5,161,29,3,3,2,15.86,1,11,30.35,10.7
J40,junior,2,171,28,4,3,2,10.28,0,4,37.87,6.96
J41,junior,0.5,174,33,3,2,2,13,0,4,37.44,7.01
J42,junior,0.5,172,34,3,2,2,14.43,0,4,38.11,7.02
J43,junior,2,331,61,4,3,2,15.4,0,4,37.34,7.11
J44,junior,2,176,34,4,3,2,11.2,0,4,38.06,7.05
J45,junior,0.5,98,21,2,1,1,13.3,1,2.5,51.49,5.1
J46,junior,0.5,192,35,3,2,2,11.06,0,4,38.54,6.97
J47,junior,2,176,30,3,2,2,14.34,0,5,37.17,7.61
J48,junior,0.5,167,36,3,2,2,11.99,0,4,38.06,7.04
J49,junior,2,475,88,5,4,4,13.87,0,4,37.32,7.12
J50,junior,0.5,184,32,3,2,2,13.75,0,4,38.06,7.06
J51,junior,0.5,170,34,3,2,2,15.42,0,4,38.06,7.07
J52,junior,2,174,28,4,3,2,14.4,0,4,37.21,6.94
J53,junior,2,187,35,4,3,2,16.48,0,4,37.11,6.99
J54,junior,0.5,179,38,3,2,2,15.85,0,5,35.74,7.47
J55,junior,2,193,30,4,3,2,17.96,0,5,35.75,7.47
J56,junior,0.5,174,33,3,2,2,14.67,1,5,34.77,7.38
J57,junior,2,168,30,4,3,2,16,0,3,50.26,5.33
J58,junior,0.5,173,33,3,2,2,14.25,1,5,34.58,8.07
J59,junior,0.5,166,31,3,2,2,12.94,1,5,35.81,7.53
J60,junior,2,382,68,4,3,3,13.8,0,5,36.28,7.43
J61,junior,2,178,34,4,3,3,13.24,0,4,38.44,6.98
J62,junior,0.5,191,43,3,2,2,12.14,0,4,38.36,7.01
J63,junior,2,168,37,3,2,2,15.06,0,5,36.74,7.51
J64,junior,0.5,151,28,3,2,2,8.54,0,4,37.54,6.88
J65,junior,2,193,38,4,3,2,9.45,0,4,30.04,7.45
J66,junior,2,187,37,3,2,2,7.52,0,4,37.49,6.88
J67,junior,0.5,198,46,3,2,2,8.22,0,5,37.42,7.45
J68,junior,0.5,194,44,3,2,2,6.89,0,4,37.26,6.9
J69,junior,2,352,65,5,4,4,9.77,0,7,28.84,9.93
J70,junior,0.5,152,28,3,2,2,7.6,0,4,38.09,6.94
J71,junior,0.5,88,18,2,1,1,9.23,1,4,29.93,7.51
J72,junior,2,172,37,3,2,2,14.17,0,2,40.48,5.94
J73,junior,2,213,39,4,3,2,9.37,0,4,37.86,6.86
J74,junior,2,242,45,4,3,2,14.91,0,5,27.07,7.41
J75,junior,2,249,50,4,4,3,12.67,0,11,26.84,12.73
S76,senior,6,1793,304,5,5,5,36.64,0,3.71,47.28,6.64
S77,senior,6,1571,300,5,5,5,20.81,0,6.5,45.86,7.28
S78,senior,6,708,129,5,4,4,21.88,1,13,22.3,12.71
S79,senior,6,788,185,5,4,5,19.98,0,2.75,44.38,5.76
S80,senior,6,840,182,5,4,4,17.46,0,2.25,51.89,5.26
S81,senior,6,979,159,5,4,4,20.88,0,4.5,39.3,7.72
S82,senior,6,893,263,5,4,4,34.67,0,3.29,52.03,6.78
S83,senior,6,957,195,5,4,4,21.49,0,2.67,52.23,5.69
S84,senior,6,1061,193,5,4,4,25.93,1,1.67,68.64,3.52
S85,senior,6,1927,337,5,5,5,23.38,0,9,28.02,10.86
S86,senior,6,637,127,5,4,4,27.6,0,9,29.47,10.71
S87,senior,6,891,139,5,5,5,32.01,0,9,25.14,10.73
S88,senior,6,629,104,5,5,5,20.36,0,3.43,48.78,7.08
S89,senior,6,414,75,5,4,4,16.53,0,13,28.38,11.7
S90,senior,6,462,77,5,4,4,19.01,0,2.43,51.33,6.2
S91,senior,6,303,57,4,4,3,19.39,1,3.25,49.69,6.49
S92,senior,6,402,59,5,4,4,18.37,0,2.75,50.56,6.19
S93,senior,6,370,59,5,5,4,18.39,0,2.86,50.64,6.89
S94,senior,6,580,106,5,4,4,18.68,0,2.6,51.47,6.33
S95,senior,6,942,176,5,5,5,16.64,0,7,29.44,9.8
S96,senior,6,409,64,5,5,4,19.23,0,2.27,51.34,5.87
S97,senior,6,332,61,5,4,4,17.53,1,5.5,44.38,7.3
S98,senior,6,551,104,5,4,4,15.45,0,8,27.29,10.32
S99,senior,6,672,110,5,5,5,18.66,0,8,26.79,11.15
S100,senior,6,538,92,5,5,5,27.55,0,2.71,48.18,6.56
S101,senior,6,514,93,5,4,4,34.04,0,3.5,49.72,6.14
S102,senior,6,411,74,5,4,4,33.8,0,2.8,49.56,5.71
S103,senior,6,440,89,5,5,5,37.72,0,2.75,51.4,6.31
S104,senior,6,424,74,5,5,4,23.75,0,2.38,51.72,5.72
S105,senior,6,438,81,5,5,4,23.62,0,2.13,53.35,5.93
S106,senior,6,432,77,5,5,4,22.7,0,2,59,5.38
S107,senior,6,483,76,5,5,4,16.93,0,2.86,49.43,6.46
S108,senior,6,413,67,5,5,4,15.35,0,2.83,52.66,6.39
S109,senior,6,577,90,5,5,4,14.9,0,2.67,49.87,6.33
S110,senior,6,855,130,5,5,4,15.52,0,2.67,51.15,6.05
S111,senior,6,482,74,5,5,4,15.28,0,2,54.58,5.71
S112,senior,6,543,88,5,5,4,16.53,0,3.5,45.85,6.57
S113,senior,6,567,85,5,5,4,15.39,0,2.43,51.13,6.21
S114,senior,6,802,145,5,5,5,18.05,0,10,24.53,11.2
S115,senior,6,340,58,5,5,4,16.21,0,1.55,69.15,3.72
S116,senior,6,618,97,5,5,4,17.43,0,5.33,59.38,6.29
S117,senior,6,998,159,5,5,5,18.38,0,2.67,48.97,5.88
S118,senior,6,388,68,5,5,4,19.1,0,11,30.16,11.63
S119,senior,6,353,55,5,5,4,16.52,0,2.71,57.01,5.63
S120,senior,6,1081,199,5,5,5,17.48,0,11,24.32,11.91
S121,senior,6,837,162,5,5,5,17.3,0,12,24.04,12.29
S122,senior,6,811,132,5,5,5,18.7,0,2.43,47.71,6.16
S123,senior,6,492,80,5,5,5,17.11,0,3.3,55.97,6.46
S124,senior,6,746,113,5,5,4,25.64,0,2.56,54.15,6.14
S125,senior,6,781,135,5,4,4,19.07,0,1.75,51.67,5.55
S126,senior,6,1016,172,5,5,5,30.62,0,2.67,51.7,6.44
S127,senior,6,736,124,5,5,5,25.31,0,2.4,57.16,5.42
S128,senior,6,1022,175,5,5,5,24.78,0,3.43,48.54,7.04
S129,senior,6,621,112,5,5,5,29.85,0,2.18,59.42,5.73
S130,senior,6,1027,168,5,5,5,35.55,0,2.22,51.95,5.52
S131,senior,6,1313,200,5,5,5,30.78,0,2.38,51.71,5.78
S132,senior,6,465,97,5,4,4,29.9,0,2.57,50.91,5.64
S133,senior,6,292,54,5,3,3,23.56,0,1.8,70.88,3.66
